,Date,PAR,Lights On,Temperature (°C),Lights Off,Temperature (°C),Simulating Sweden
Week 1,11/4/2024,140,8:00 AM,19,12:45 AM,14,Fall
Week 2,11/11/2024,140,8:00 AM,15,11:15 PM,12,Fall
Week 3,11/18/2024,140,8:00 AM,13,9:30 PM,9,Fall
Week 4,11/25/2024,140,8:00 AM,10,8:15 PM,7,Fall
Week 5,12/2/2024,140,8:00 AM,10,6:15 PM,6,Winter
Week 6,12/9/2024,140,8:00 AM,10,3:30 PM,6,Winter
Week 7,12/16/2024,140,8:00 AM,10,1:30 PM,6,Winter
Week 8,12/23/2024,140,8:00 AM,10,1:15 PM,6,Winter
Week 9,12/30/2024,140,8:00 AM,10,3:15 PM,6,Winter
Week 10,1/6/2025,140,8:00 AM,10,5:45 PM,6,Winter
Week 11,1/13/2025,140,8:00 AM,10,8:45 PM,6,Winter
Week 12,1/20/2025,140,8:00 AM,10,11:15 PM,6,Winter
Week 13,1/27/2025,140,7:00 AM,10,12:00 AM,6,May 4-10
Week 14,2/3/2025,140,7:00 AM,10,12:45 AM,6,May 11-17
Week 15,2/10/2025,140,6:30 AM,10,1:00 AM,6,May 18-24
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
